year,fomc_date,doc_type,word_count,hawk_hits,dove_hits,hawk_net,hawk_score_norm,hawk_ratio,tone_word_count,tfidf_cos_prev,tfidf_pc1,tfidf_pc2,hawk_score_delta,hawk_ratio_delta,finbert_positive,finbert_negative,finbert_neutral,finbert_net,hawk_composite
2006,2006-08-08,statement,165,2,1,1,0.6060606060606061,0.6666666666666666,3,0.607999928158939,0.3310431594967089,0.2501987722286398,0.2123598186590313,0.0,0.464226484298706,0.267886757850647,0.267886757850647,0.196339726448059,0.632418264945348
2006,2006-09-20,statement,151,2,0,2,1.3245033112582782,1.0,2,0.9007190565444693,0.3181185256033787,0.2570050085349231,0.7184427051976722,0.3333333333333333,0.2640601843595505,0.471879631280899,0.2640601843595505,-0.2078194469213485,0.6980451382696629
2006,2006-10-25,statement,155,2,0,2,1.2903225806451613,1.0,2,0.8829522043228412,0.3245253118648205,0.2525248914859214,-0.0341807306131169,0.0,0.0371843874454498,0.9256312251091005,0.0371843874454498,-0.8884468376636505,0.5278882905840874
2006,2006-12-12,statement,165,2,0,2,1.2121212121212122,1.0,2,0.9503160784248056,0.3343081789960571,0.2468918476207526,-0.0782013685239491,0.0,0.0441802740097045,0.9116394519805908,0.0441802740097045,-0.8674591779708862,0.5331352055072784
2007,2007-01-31,statement,138,1,0,1,0.7246376811594203,1.0,1,0.7626882288533272,0.3099118095734247,0.2359141428817989,-0.4874835309617918,0.0,0.2215637564659118,0.2215637564659118,0.5568724870681763,0.0,0.75
2007,2007-03-21,statement,130,1,0,1,0.7692307692307693,1.0,1,0.6984089886930153,0.3011484942165228,0.2122039550603971,0.0445930880713489,0.0,0.1410821974277496,0.1410821974277496,0.7178356051445007,0.0,0.75
2007,2007-05-09,statement,129,1,0,1,0.7751937984496124,1.0,1,0.8866708364118905,0.3099423742411176,0.2263251777294863,0.0059630292188431,0.0,0.1278377175331115,0.1278377175331115,0.7443245649337769,0.0,0.75
2007,2007-06-18,statement,143,0,0,0,0.0,0.0,0,0.826774939818489,0.3037476807152455,0.2304150404186504,-0.7751937984496124,-1.0,0.7776206731796265,0.1111896634101867,0.1111896634101867,0.6664310097694397,0.4166077524423599
2007,2007-08-07,statement,173,0,2,-2,-1.1560693641618496,0.0,2,0.8225392454758921,0.3365017247441732,0.238730177752822,-1.1560693641618496,0.0,0.9245185256004332,0.0377407371997833,0.0377407371997833,0.88677778840065,0.4716944471001625
2007,2007-08-17,statement,132,0,2,-2,-1.5151515151515151,0.0,2,0.3837098023114648,0.2173757630862249,0.1399521793305224,-0.3590821509896655,0.0,0.1801505982875824,0.1801505982875824,0.6396988034248352,0.0,0.25
