fomc_date,yield_2y_pre,yield_2y_chg1d,yield_2y_dir1d,yield_2y_chg3d,yield_2y_dir3d,yield_2y_chg5d,yield_2y_dir5d,yield_10y_pre,yield_10y_chg1d,yield_10y_dir1d,yield_10y_chg3d,yield_10y_dir3d,yield_10y_chg5d,yield_10y_dir5d,spread_2s10s_pre,spread_2s10s_chg1d,spread_2s10s_dir1d,spread_2s10s_chg3d,spread_2s10s_dir3d,spread_2s10s_chg5d,spread_2s10s_dir5d,fed_funds_rate,cpi_yoy,unemployment
2010-04-28,1.03,-0.020000000000000018,0,-0.030000000000000027,0,-0.15000000000000002,0,3.71,0.04999999999999982,1,0.010000000000000231,1,-0.1299999999999999,0,2.68,0.06999999999999984,1,0.040000000000000036,1,0.020000000000000018,1,0.2,0.9088166353361736,9.9
2010-05-09,0.83,0.020000000000000018,1,0.040000000000000036,1,-0.019999999999999907,0,3.45,0.10999999999999988,1,0.09999999999999964,1,0.020000000000000018,1,2.62,0.08999999999999986,1,0.06000000000000005,1,0.040000000000000036,1,0.2,0.8563670542365731,9.6
2010-06-23,0.71,-0.039999999999999925,0,-0.08999999999999997,0,-0.09999999999999998,0,3.18,-0.040000000000000036,0,-0.13000000000000034,0,-0.20999999999999996,0,2.47,0.0,0,-0.040000000000000036,0,-0.10999999999999988,0,0.17,0.3186934492330762,9.4
2010-08-10,0.54,0.0,0,0.0,0,-0.020000000000000018,0,2.86,-0.13999999999999968,0,-0.17999999999999972,0,-0.21999999999999975,0,2.32,-0.13999999999999968,0,-0.17999999999999972,0,-0.19999999999999973,0,0.18,0.2650140098552134,9.5
2010-09-21,0.47,-0.02999999999999997,0,-0.019999999999999962,0,-0.09999999999999998,0,2.72,-0.16000000000000014,0,-0.10000000000000009,0,-0.2400000000000002,0,2.25,-0.1299999999999999,0,-0.08000000000000007,0,-0.14000000000000012,0,0.2,0.3618590450967351,9.5
2010-11-03,0.34,-0.010000000000000009,0,0.06999999999999995,1,0.09999999999999998,1,2.63,-0.10000000000000009,0,-0.029999999999999805,0,0.020000000000000018,1,2.29,-0.08999999999999986,0,-0.10000000000000009,0,-0.08000000000000007,0,0.2,1.0626792034278187,9.8
2010-12-14,0.61,0.07000000000000006,1,0.0,0,0.020000000000000018,1,3.29,0.23999999999999977,1,0.040000000000000036,1,0.06000000000000005,1,2.68,0.16999999999999993,1,0.040000000000000036,1,0.040000000000000036,1,0.19,1.4116640524739932,9.3
2011-01-26,0.62,-0.030000000000000027,0,-0.040000000000000036,0,0.050000000000000044,1,3.35,0.06999999999999984,1,0.06999999999999984,1,0.16999999999999993,1,2.73,0.10000000000000009,1,0.10999999999999988,1,0.1200000000000001,1,0.17,1.79345575037968,9.1
2011-03-15,0.61,-0.030000000000000027,0,0.0,0,0.07000000000000006,1,3.36,-0.13999999999999968,0,-0.08000000000000007,0,-0.020000000000000018,0,2.75,-0.10999999999999988,0,-0.08000000000000007,0,-0.08999999999999986,0,0.14,2.5004021047310587,9.0
2011-04-27,0.65,-0.030000000000000027,0,-0.040000000000000036,0,-0.050000000000000044,0,3.34,0.0,0,-0.029999999999999805,0,-0.08999999999999986,0,2.69,0.03000000000000025,1,0.010000000000000231,1,-0.040000000000000036,0,0.09,2.8312752669520824,9.1
2011-06-22,0.4,-0.050000000000000044,0,0.009999999999999953,1,0.06999999999999995,1,2.99,-0.06000000000000005,0,-0.040000000000000036,0,0.1499999999999999,1,2.5900000000000003,-0.010000000000000231,0,-0.050000000000000266,0,0.07999999999999963,1,0.09,2.6347387403839573,9.1
2011-08-09,0.27,-0.08000000000000002,0,-0.07,0,-0.07,0,2.4,-0.22999999999999998,0,-0.1599999999999997,0,-0.16999999999999993,0,2.13,-0.1499999999999999,0,-0.08999999999999986,0,-0.10000000000000009,0,0.1,2.967348239901635,9.0
2011-09-21,0.18,0.020000000000000018,1,0.07,1,0.09000000000000002,1,1.95,-0.22999999999999998,0,-0.040000000000000036,0,0.07999999999999985,1,1.77,-0.25,0,-0.1100000000000001,0,-0.010000000000000231,0,0.08,2.445894198121956,9.0
2011-11-02,0.23,0.009999999999999981,1,0.01999999999999999,1,0.009999999999999981,1,2.01,0.08000000000000007,1,0.03000000000000025,1,-0.009999999999999787,0,1.7799999999999998,0.07000000000000028,1,0.010000000000000231,1,-0.019999999999999796,0,0.08,2.3754157315523328,8.6
2011-12-13,0.24,0.010000000000000009,1,0.0,0,0.020000000000000018,1,2.03,-0.10999999999999988,0,-0.1699999999999997,0,-0.08999999999999986,0,1.7899999999999998,-0.11999999999999988,0,-0.1699999999999997,0,-0.10999999999999988,0,0.07,1.3967415314177778,8.5
2012-01-25,0.24,-0.01999999999999999,0,-0.01999999999999999,0,-0.009999999999999981,0,2.08,-0.1200000000000001,0,-0.20999999999999996,0,-0.20999999999999996,0,1.84,-0.10000000000000009,0,-0.19000000000000017,0,-0.20000000000000018,0,0.08,1.3504977625152348,8.3
2012-03-13,0.33,0.07,1,0.03999999999999998,1,0.07999999999999996,1,2.04,0.25,1,0.27,1,0.33999999999999986,1,1.71,0.17999999999999994,1,0.22999999999999998,1,0.26,1,0.12,1.51378690742916,8.2
2012-04-25,0.27,-0.010000000000000009,0,0.0,0,0.0,0,2.0,-0.020000000000000018,0,-0.050000000000000044,0,-0.040000000000000036,0,1.73,-0.010000000000000009,0,-0.050000000000000044,0,-0.040000000000000036,0,0.15,1.3626352241868922,8.2
2012-06-20,0.3,0.020000000000000018,1,0.010000000000000009,1,0.010000000000000009,1,1.64,-0.010000000000000009,0,-0.010000000000000009,0,0.010000000000000009,1,1.34,-0.03000000000000025,0,-0.02000000000000024,0,0.0,0,0.16,0.7823594266813672,8.2
