year,fomc_date,doc_type,word_count,hawk_hits,dove_hits,hawk_net,hawk_score_norm,hawk_ratio,tone_word_count,tfidf_cos_prev,tfidf_pc1,tfidf_pc2,hawk_score_delta,hawk_ratio_delta
2008,2008-08-05,statement,190,3,3,0,0.5263157894736842,0.5,6,0.8401066352924511,0.3891211348354609,0.2708313277198833,0.5263157894736842,0.0
2008,2008-09-16,statement,181,2,5,-3,-1.6574585635359116,0.2857142857142857,7,0.8596547455900088,0.3557954032310784,0.2771027398942435,-2.183774353009596,-0.2142857142857143
2008,2008-10-08,statement,413,3,3,0,0.7263922518159807,0.5,6,0.1875503203558908,0.2019272837962032,0.2467809048364964,2.3838508153518925,0.2142857142857143
2008,2008-10-29,statement,254,0,4,-4,-1.574803149606299,0.0,4,0.4498625768792234,0.3272895753959614,0.4733189929804908,-2.30119540142228,-0.5
2008,2008-12-16,statement,177,1,0,1,0.5649717514124294,1.0,1,0.3731341232707526,0.3726232764555461,0.1636937342234733,2.1397749010187286,1.0
2009,2009-01-28,statement,251,0,6,-6,-2.3904382470119523,0.0,6,0.5936372751177312,0.4168976679099662,0.174771774328484,-2.955409998424382,-1.0
2009,2009-03-18,statement,386,0,3,-3,-0.7772020725388601,0.0,3,0.4775061246934138,0.4229265146076479,0.1086807429673478,1.613236174473092,0.0
2009,2009-04-29,statement,392,0,4,-4,-1.020408163265306,0.0,4,0.7611024181978774,0.4283477396753267,0.1404920574954371,-0.243206090726446,0.0
2009,2009-06-24,statement,345,0,3,-3,-0.8695652173913043,0.0,3,0.8224747884576059,0.3815978188847362,0.134054550053874,0.1508429458740018,0.0
2009,2009-08-12,statement,387,0,2,-2,-0.516795865633075,0.0,2,0.9442569087591784,0.3951013478360776,0.1318285755058219,0.3527693517582293,0.0
2009,2009-09-23,statement,392,0,2,-2,-0.5102040816326531,0.0,2,0.8841035407799476,0.4057817907932183,0.1195665433763167,0.0065917840004219,0.0
2009,2009-11-04,statement,430,0,3,-3,-0.6976744186046512,0.0,3,0.9074133781084788,0.4329228704395975,0.1103435993724646,-0.1874703369719981,0.0
2009,2009-12-16,statement,535,0,4,-4,-0.7476635514018692,0.0,4,0.6906928313950388,0.3893004037439233,0.1328427828348244,-0.049989132797218,0.0
2010,2010-01-27,statement,480,0,4,-4,-0.8333333333333334,0.0,4,0.8486746739806387,0.3762340052639307,0.1253371147844375,-0.0856697819314641,0.0
2010,2010-03-16,statement,361,0,3,-3,-0.8310249307479225,0.0,3,0.8010581612968495,0.4008405117130912,0.1245666058520398,0.0023084025854108,0.0
2010,2010-04-28,statement,314,0,3,-3,-0.9554140127388536,0.0,3,0.898658414777036,0.3849169052917705,0.130096517593025,-0.124389081990931,0.0
2010,2010-05-09,statement,312,0,0,0,0.0,0.0,0,0.0826281310357274,0.0506166177886087,0.0602995066671065,0.9554140127388536,0.0
2010,2010-06-23,statement,265,0,3,-3,-1.1320754716981132,0.0,3,0.0560821981957964,0.3834391995408192,0.1461820232999887,-1.1320754716981132,0.0
2010,2010-08-10,statement,428,0,3,-3,-0.7009345794392523,0.0,3,0.8027867125842876,0.4579215630598785,0.108043811469222,0.4311408922588609,0.0
2010,2010-09-21,statement,399,0,4,-4,-1.0025062656641603,0.0,4,0.8169107920041541,0.4362896273274344,0.0970553912651811,-0.301571686224908,0.0
2010,2010-11-03,statement,459,1,3,-2,-0.4357298474945534,0.25,4,0.7614527272484017,0.5042982870553324,0.0766334447087266,0.5667764181696069,0.25
2010,2010-12-14,statement,458,1,3,-2,-0.4366812227074235,0.25,4,0.9497466942857646,0.5097465545683169,0.0658401061520821,-0.0009513752128701,0.0
2011,2011-01-26,statement,399,1,2,-1,-0.2506265664160401,0.3333333333333333,3,0.9156861865278798,0.4992983628880308,0.0644931305687614,0.1860546562913834,0.0833333333333333
2011,2011-03-15,statement,428,1,2,-1,-0.233644859813084,0.3333333333333333,3,0.8284622392793687,0.514614373560933,0.0572956356155589,0.016981706602956,0.0
2011,2011-04-27,statement,429,1,2,-1,-0.2331002331002331,0.3333333333333333,3,0.9195845666130272,0.5198315930405446,0.0600948414122284,0.0005446267128509,0.0
2011,2011-06-22,statement,421,1,1,0,0.0,0.5,2,0.7027568320681528,0.5099215569103818,0.042945264387413,0.2331002331002331,0.1666666666666666
2011,2011-08-09,statement,497,0,2,-2,-0.4024144869215292,0.0,2,0.8264881243812313,0.5209984274633843,0.0643184039296283,-0.4024144869215292,-0.5
